Tool Name,Top-Level Category,Sub-Categories,Description,Website,Linux-Distro
nmap,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A powerful network scanning tool that can be used to discover hosts, identify running services, and gather information about target systems.",,Kali
ncat,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A flexible tool for network connection and redirection, which can be used for a variety of tasks like port scanning, file transfers, and reverse shells.",,Kali
ndiff,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,Compares the output of two Nmap scans and highlights the differences.,,Kali
nping,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,"A tool for network packet generation, response analysis, and response time measurement, which can be used for network discovery, testing, and troubleshooting.",,Kali
metasploit-framework,Exploitation and Attack,8. Exploitation Tools,"A comprehensive platform for developing, testing, and using exploit code against remote target systems.",,Kali
crunch,Password Attacks,26. Password Attacks,A word list generator that can be used to create custom wordlists for password cracking and other security testing purposes.,,Kali
wireshark,Network and Protocol Analysis,52. Network Protocol Analysis,"A powerful network protocol analyzer that can be used to capture and examine network traffic, identify security issues, and troubleshoot network problems.",,Kali
hashcat,Password Attacks,26. Password Attacks,"A fast password cracking tool that can be used to recover a wide range of hashed passwords, including those used for encryption, authentication, and more.",,Kali
hydra,Password Attacks,26. Password Attacks,"A fast and flexible tool for performing brute-force attacks against a variety of network services, including web applications, SSH, FTP, and more.",,Kali
spiderfoot,Reconnaissance and Information Gathering,1. Information Gathering / Reconnaissance,An open-source intelligence (OSINT) automation tool that can be used to gather information about a target from various online sources.,,Kali
sqlmap,Web Security,3. Web Application Analysis,"A tool that can be used to detect and exploit SQL injection vulnerabilities in web applications, allowing for the retrieval of sensitive data from the database.",,Kali
nuclei,$,,"A fast and customizable targeted vulnerability scanner that can be used to find and exploit vulnerabilities in various types of targets, including web applications, APIs, and more.",,Kali
wifite,$,,"A tool that can be used to automate the process of cracking wireless network passwords, including WEP, WPA, and WPS-protected networks.",,Kali
